"","Iteration","f1_TRT","f2_ATT","Temperature","C_epoch_number","L_iteration_per_epoch","A_num_accepted_moves_per_epoch","eps_num_epochs_without_accepting_solution","Route"
"1",0,128,13.3842682140554,500,1,0,0,0,NA
"2",0,128,13.3842682140554,500,1,0,0,0,NA
"3",1,131,12.3713733075435,500,1,1,1,0,NA
"4",2,123,12.3713733075435,500,1,2,2,0,NA
"5",0,151,11.8220502901354,475,2,0,0,0,NA
"6",1,149,11.8284977433914,475,2,1,1,0,NA
"7",2,159,11.7865892972276,475,2,2,2,0,NA
"8",0,154,11.8220502901354,451.25,3,0,0,0,NA
"9",1,151,11.8220502901354,451.25,3,1,1,0,NA
"10",2,154,11.8220502901354,451.25,3,2,2,0,NA
"11",0,154,11.8220502901354,428.6875,4,0,0,0,NA
"12",1,144,11.8639587362992,428.6875,4,1,1,0,NA
"13",0,141,12.324306898775,386.89046875,6,0,0,1,NA
"14",1,143,12.2991618310767,386.89046875,6,1,1,0,NA
"15",2,143,12.2991618310767,386.89046875,6,2,2,0,NA
"16",1,97,17.4235976789168,315.124704862305,10,1,0,3,NA
"17",2,121,13.7330754352031,315.124704862305,10,2,1,0,NA
"18",0,119,13.9555125725338,299.368469619189,11,0,0,0,NA
"19",1,114,13.9651837524178,299.368469619189,11,1,1,0,NA
"20",2,114,13.9651837524178,299.368469619189,11,2,2,0,NA
"21",0,112,14.0876853642811,284.40004613823,12,0,0,0,NA
"22",1,110,16.8401031592521,284.40004613823,12,1,1,0,NA
"23",2,110,16.8401031592521,284.40004613823,12,2,2,0,NA
"24",0,104,16.8401031592521,270.180043831318,13,0,0,0,NA
