,f_1,f_2,routes
0,3.132695609516801,60.0,3-8-5*6-0-1-7-2-5-9*3-7-6*8-7*6-8-5*9-4-8-5-7-0*6-8-4*9-3-8-2-1*
1,3.165072357125337,56.0,6-7-3*6-0-1-7-2-5-9*3-8-5*8-7*6-8-5*4-8-5-7-0*6-8-4*9-3-8-2-1*
2,3.166850625459897,52.0,6-7-3*6-0-1-7-2-5*3-8-5*8-7*6-8-5*4-8-5-7-0*6-8-4*9-3-8-2-1*
0,3.1697326465538387,50.0,1-0-6-8-5-2*9-3-8-4-7-5*2-1*7-1*7-0*7-8*9-3-8-2-7-6*3-8-5*
4,3.1867882546690494,49.0,6-7-3*6-0-1-7-2*3-8-5*8-7*6-8-5*4-8-5-7-0*6-8-4*9-3-8-2-1*
5,3.1951890395599003,47.0,2-7-6*6-0-1-7*3-8-5-7-0*8-7*6-8-5*9-4-8-5*6-8-4*3-8-2-1*
6,3.23606293142717,46.0,2-7-6*7-1*3-8-2-1-0-6*8-7-0*6-8-5*4-8-5*6-8-4*9-3-8-5-7*
4,3.3042240442902693,45.0,1-2-8-3-9*7-6-8-5*5-8-3*1-0-6-7*1-0*7-8-3*2-7*1-0-7-5-8-4*
5,3.3249938680402256,44.0,6-8-5*7-5*1-7-2-8-3-9*7-6-0-1-2*5-8-3*0-5*4-8-5*7-8-2*
3,3.3472178422509553,42.0,9-3-8-5-7*0-6-8-5*3-2*4-8-5*8-6-7*8-2-1-0-7*7-8*7-2*
8,3.381915974631206,40.0,5-7-2-8-3-9*1-7*7-6*4-8-5*7-0*7-8*1-0*2-1-0-6-8-5*
6,3.4342478713339637,39.0,6-8-5*7-5*1-7-2-8-3-9*7-6-0-1*5-8-3*0-5*4-8-5*7-8*
5,3.4384701636357264,37.0,9-3-8-5-7*0-6-8-5*2-1-0-7*4-8-5*7-6*2-8*7-8*7-2*
5,3.475454641017555,36.0,7-8*1-0-7-6*7-2*7-5*5-8-6-0*8-2-1*3-8-5*9-3-8-4*
7,3.522145134727916,34.0,6-8-5*4-8-3-9*0-6*1-0-7-5*7-8*7-6*1-2*3-8-2-7*
8,3.623392550544868,33.0,6-8-5*7-6*1-2*4-8-7*7-2-8-3-9*0-6*7-5*7-0-1*
4,3.6954518378359436,31.0,7-8*7-6-8-5*2-1*7-0-1*9-3*4-8-3*7-2-8-3*6-0*
9,3.7728809699008377,30.0,6-0*5-8-6-7-0-1*2-8*4-8-3*2-7*9-3*8-7*2-1*
11,3.854129436910893,29.0,9-3*3-8-4*5-8-6-7*1-0-7-2*2-8-3*7-8*8-3*6-0*
12,3.9146693997687376,28.0,8-2*5-8-6-7*0-7*2-7-1*8-7*9-3*3-8-4*0-6*
17,4.012666876905287,27.0,8-2*4-8-3*5-8-6-7*1-0-7*9-3*6-0*2-7*1-2*
12,4.12372542836119,26.0,6-0*1-7-2*4-8-3*2-8*9-3*7-6-8-5*7-0*3-8*
13,4.221661585899996,25.0,3-8*1-7-2*8-4*6-0*9-3*7-0*7-6-8-5*2-8*
7,4.420967798451242,24.0,8-2*8-3*7-6-8-5*9-3*6-0*8-4*7-2*7-0-1*
17,4.6873576509338095,23.0,8-2*7-0*4-8*1-7*8-3*9-3*7-6-8-5*2-7*
21,5.095579732996952,22.0,2-7*7-6-8-5*7-0*1-7*8-3*4-8*9-3*8-3*
22,5.675610567994673,21.0,1-0*7-0*7-6-8-5*4-8*3-9*2-7*8-3*8-3*
20,6.62273555485476,20.0,0-1*0-7*7-6-8*2-7*8-4*8-5*8-3*9-3*
21,7.790462174568135,19.0,0-1*0-7*7-6-8*8-5*4-8*8-3*9-3*2-8*
